Vulnerabilidad;Descripción;Solución;Dirección IP;Puerto;Nombre;Protocolo;Severidad;Explotable;cve;bid;Puntaje cvss;Nombre del plug-in;Información adicional;xref;Dirección mac;Sistema operativo;
It may be possible to get access to the remote host.;The remote version of the Remote Desktop Protocol Server (Terminal Service) is vulnerable to a man-in-the-middle (MiTM) attack. The RDP client makes no effort to validate the identity of the server when setting up encryption. An attacker with the ability to intercept traffic from the RDP server can establish encryption with the client and server without being detected. A MiTM attack of this nature would allow the attacker to obtain any sensitive information transmitted, including authentication credentials.  This flaw exists because the RDP server stores a hard-coded RSA private key in the mstlsapi.dll library. Any local user with access to this file (on any Windows system) can retrieve the key and use it for this attack.; Force the use of SSL as a transport layer for this service if supported, or/and  - Select the &apos.Allow connections only from computers running Remote Desktop with Network Level Authentication&apos. setting if it is available.;172.17.7.11;3389;RAGEGUY;tcp;Medium;True;CVE-2005-1794;13818;4.6;Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness;http://www.oxid.it/downloads/rdp-gbu.pdf http://www.nessus.org/u?e2628096 http://technet.microsoft.com/en-us/library/cc782610.aspx;OSVDB:17131;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote host is using weak cryptography.;The remote Terminal Services service is not configured to use strong cryptography.   Using weak cryptography with this service may allow an attacker to eavesdrop on the communications more easily and obtain screenshots and/or keystrokes.;Change RDP encryption level to one of :   3. High   4. FIPS Compliant;172.17.7.11;3389;RAGEGUY;tcp;Medium;False;;;;Terminal Services Encryption Level is Medium or Low;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote host is not FIPS-140 compliant.;The encryption setting used by the remote Terminal Services service is not FIPS-140 compliant.;Change RDP encryption level to :   4. FIPS Compliant;172.17.7.11;3389;RAGEGUY;tcp;Low;False;;;;Terminal Services Encryption Level is not FIPS-140 Compliant;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote Terminal Services doesn&apos.t use Network Level Authentication only.;The remote Terminal Services is not configured to use Network Level Authentication (NLA) only. NLA uses the Credential Security Support Provider (CredSSP) protocol to perform strong server authentication either through TLS/SSL or Kerberos mechanisms, which protect against man-in-the-middle attacks. In addition to improving authentication, NLA also helps protect the remote computer from malicious users and software by completing user authentication before a full RDP connection is established.;Enable Network Level Authentication (NLA) on the remote RDP server. This is generally done on the &apos.Remote&apos. tab of the &apos.System&apos. settings on Windows.;172.17.7.11;3389;RAGEGUY;tcp;Medium;False;;;;Terminal Services Doesn&apos.t Use Network Level Authentication (NLA) Only;http://technet.microsoft.com/en-us/library/cc732713.aspx http://www.nessus.org/u?e2628096;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
It is possible to enumerate CPE names that matched on the remote system.;By using information obtained from a Nessus scan, this plugin reports CPE (Common Platform Enumeration) matches for various hardware and software products found on a host.   Note that if an official CPE is not available for the product, this plugin computes the best possible CPE based on the information available from the scan.;n/a;172.17.7.11;0;RAGEGUY;tcp;None;False;;;;Common Platform Enumeration (CPE);http://cpe.mitre.org/ https://nvd.nist.gov/cpe.cfm;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
It was possible to take a &apos.screenshot&apos. of the remote web server.;This plugin renders the view of the remote web site&apos.s main page, as seen from within a web browser.  This plugin is informational only and does not denote a security problem.;n/a;172.17.7.11;8081;RAGEGUY;tcp;None;False;;;;Remote web server screenshot;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote Windows host is affected by an elevation of privilege vulnerability.;The remote Windows host is affected by an elevation of privilege vulnerability in the Security Account Manager (SAM) and Local Security Authority (Domain Policy) (LSAD) protocols due to improper authentication level negotiation over Remote Procedure Call (RPC) channels. A man-in-the-middle attacker able to intercept communications between a client and a server hosting a SAM database can exploit this to force the authentication level to downgrade, allowing the attacker to impersonate an authenticated user and access the SAM database.;Microsoft has released a set of patches for Windows Vista, 2008, 7, 2008 R2, 2012, 8.1, RT 8.1, 2012 R2, and 10.;172.17.7.11;1027;RAGEGUY;tcp;Medium;True;CVE-2016-0128;86002;5.6;MS16-047: Security Update for SAM and LSAD Remote Protocols (3148527) (Badlock) (uncredentialed check);https://technet.microsoft.com/library/security/MS16-047 http://badlock.org/;OSVDB:136339 MSFT:MS16-047 CERT:813296 IAVA:2016-A-0093;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
It is possible to guess the remote device type.;Based on the remote operating system, it is possible to determine what the remote system type is (eg: a printer, router, general-purpose computer, etc).;n/a;172.17.7.11;0;RAGEGUY;tcp;None;False;;;;Device Type;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service encrypts communications using SSL.;This plugin detects which SSL ciphers are supported by the remote service for encrypting communications.;n/a;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Cipher Suites Supported;https://www.openssl.org/docs/manmaster/apps/ciphers.html http://www.nessus.org/u?7d537016;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
It is possible to guess the remote operating system.;Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP, SNMP, etc.), it is possible to guess the name of the remote operating system in use. It is also possible sometimes to guess the version of the operating system.;n/a;172.17.7.11;0;RAGEGUY;tcp;None;False;;;;OS Identification;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote host is a VMware virtual machine.;According to the MAC address of its network adapter, the remote host is a VMware virtual machine.;Since it is physically accessible through the network, ensure that its configuration matches your organization&apos.s security policy.;172.17.7.11;0;RAGEGUY;tcp;None;False;;;;VMware Virtual Machine Detection;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The manufacturer can be identified from the Ethernet OUI.;Each ethernet MAC address starts with a 24-bit Organizationally Unique Identifier (OUI). These OUIs are registered by IEEE.;n/a;172.17.7.11;0;RAGEGUY;tcp;None;False;;;;Ethernet Card Manufacturer Detection;http://standards.ieee.org/faqs/regauth.html http://www.nessus.org/u?794673b4;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
It was possible to take a &apos.screenshot&apos. of the remote web server.;This plugin renders the view of the remote web site&apos.s main page, as seen from within a web browser.  This plugin is informational only and does not denote a security problem.;n/a;172.17.7.11;8834;RAGEGUY;tcp;None;False;;;;Remote web server screenshot;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate for this service is for a different host.;The commonName (CN) of the SSL certificate presented on this service is for a different machine.;Purchase or generate a proper certificate for this service.;172.17.7.11;3389;RAGEGUY;tcp;Medium;False;;;;SSL Certificate with Wrong Hostname;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate for this service is for a different host.;The commonName (CN) of the SSL certificate presented on this service is for a different machine.;Purchase or generate a proper certificate for this service.;172.17.7.11;3790;RAGEGUY;tcp;Medium;False;;;;SSL Certificate with Wrong Hostname;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service encrypts communications using SSL.;This plugin detects which SSL ciphers are supported by the remote service for encrypting communications.;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;SSL Cipher Suites Supported;https://www.openssl.org/docs/manmaster/apps/ciphers.html http://www.nessus.org/u?7d537016;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
An SSL certificate in the certificate chain has been signed using a weak hash algorithm.;The remote service uses an SSL certificate chain that has been signed using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5, or SHA1). These signature algorithms are known to be vulnerable to collision attacks. An attacker can exploit this to generate another certificate with the same digital signature, allowing an attacker to masquerade as the affected service.  Note that this plugin reports all SSL certificate chains signed with SHA-1 that expire after January 1, 2017 as vulnerable. This is in accordance with Google&apos.s gradual sunsetting of the SHA-1 cryptographic hash algorithm.  Note that certificates in the chain that are contained in the Nessus CA database have been ignored.;Contact the Certificate Authority to have the certificate reissued.;172.17.7.11;3790;RAGEGUY;tcp;Medium;True;CVE-2004-2761;11849 33065;3.5;SSL Certificate Signed Using Weak Hashing Algorithm;http://tools.ietf.org/html/rfc3279 http://www.phreedom.org/research/rogue-ca/ http://technet.microsoft.com/en-us/security/advisory/961509;OSVDB:45106 OSVDB:45108 OSVDB:45127 CERT:836068 CWE:310;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
An SSL certificate in the certificate chain has been signed using a weak hash algorithm.;The remote service uses an SSL certificate chain that has been signed using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5, or SHA1). These signature algorithms are known to be vulnerable to collision attacks. An attacker can exploit this to generate another certificate with the same digital signature, allowing an attacker to masquerade as the affected service.  Note that this plugin reports all SSL certificate chains signed with SHA-1 that expire after January 1, 2017 as vulnerable. This is in accordance with Google&apos.s gradual sunsetting of the SHA-1 cryptographic hash algorithm.  Note that certificates in the chain that are contained in the Nessus CA database have been ignored.;Contact the Certificate Authority to have the certificate reissued.;172.17.7.11;8834;RAGEGUY;tcp;Medium;True;CVE-2004-2761;11849 33065;3.5;SSL Certificate Signed Using Weak Hashing Algorithm;http://tools.ietf.org/html/rfc3279 http://www.phreedom.org/research/rogue-ca/ http://technet.microsoft.com/en-us/security/advisory/961509;OSVDB:45106 OSVDB:45108 OSVDB:45127 CERT:836068 CWE:310;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate chain for this service ends in an unrecognized self-signed certificate.;The X.509 certificate chain for this service is not signed by a recognized certificate authority.  If the remote host is a public host in production, this nullifies the use of SSL as anyone could establish a man-in-the-middle attack against the remote host.   Note that this plugin does not check for certificate chains that end in a certificate that is not self-signed, but is signed by an unrecognized certificate authority.;Purchase or generate a proper certificate for this service.;172.17.7.11;3389;RAGEGUY;tcp;Medium;False;;;;SSL Self-Signed Certificate;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate chain for this service ends in an unrecognized self-signed certificate.;The X.509 certificate chain for this service is not signed by a recognized certificate authority.  If the remote host is a public host in production, this nullifies the use of SSL as anyone could establish a man-in-the-middle attack against the remote host.   Note that this plugin does not check for certificate chains that end in a certificate that is not self-signed, but is signed by an unrecognized certificate authority.;Purchase or generate a proper certificate for this service.;172.17.7.11;3790;RAGEGUY;tcp;Medium;False;;;;SSL Self-Signed Certificate;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate for this service cannot be trusted.;The server&apos.s X.509 certificate does not have a signature from a known public certificate authority.  This situation can occur in three different ways, each of which results in a break in the chain below which certificates cannot be trusted.   First, the top of the certificate chain sent by the server might not be descended from a known public certificate authority.  This can occur either when the top of the chain is an unrecognized, self-signed certificate, or when intermediate certificates are missing that would connect the top of the certificate chain to a known public certificate authority.   Second, the certificate chain may contain a certificate that is not valid at the time of the scan.  This can occur either when the scan occurs before one of the certificate&apos.s &apos.notBefore&apos. dates, or after one of the certificate&apos.s &apos.notAfter&apos. dates.   Third, the certificate chain may contain a signature that either didn&apos.t match the certificate&apos.s information, or could not be verified.  Bad signatures can be fixed by getting the certificate with the bad signature to be re-signed by its issuer.  Signatures that could not be verified are the result of the certificate&apos.s issuer using a signing algorithm that Nessus either does not support or does not recognize.   If the remote host is a public host in production, any break in the chain makes it more difficult for users to verify the authenticity and identity of the web server. This could make it easier to carry out man-in-the-middle attacks against the remote host.;Purchase or generate a proper certificate for this service.;172.17.7.11;3389;RAGEGUY;tcp;Medium;False;;;;SSL Certificate Cannot Be Trusted;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate for this service cannot be trusted.;The server&apos.s X.509 certificate does not have a signature from a known public certificate authority.  This situation can occur in three different ways, each of which results in a break in the chain below which certificates cannot be trusted.   First, the top of the certificate chain sent by the server might not be descended from a known public certificate authority.  This can occur either when the top of the chain is an unrecognized, self-signed certificate, or when intermediate certificates are missing that would connect the top of the certificate chain to a known public certificate authority.   Second, the certificate chain may contain a certificate that is not valid at the time of the scan.  This can occur either when the scan occurs before one of the certificate&apos.s &apos.notBefore&apos. dates, or after one of the certificate&apos.s &apos.notAfter&apos. dates.   Third, the certificate chain may contain a signature that either didn&apos.t match the certificate&apos.s information, or could not be verified.  Bad signatures can be fixed by getting the certificate with the bad signature to be re-signed by its issuer.  Signatures that could not be verified are the result of the certificate&apos.s issuer using a signing algorithm that Nessus either does not support or does not recognize.   If the remote host is a public host in production, any break in the chain makes it more difficult for users to verify the authenticity and identity of the web server. This could make it easier to carry out man-in-the-middle attacks against the remote host.;Purchase or generate a proper certificate for this service.;172.17.7.11;3790;RAGEGUY;tcp;Medium;False;;;;SSL Certificate Cannot Be Trusted;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate for this service cannot be trusted.;The server&apos.s X.509 certificate does not have a signature from a known public certificate authority.  This situation can occur in three different ways, each of which results in a break in the chain below which certificates cannot be trusted.   First, the top of the certificate chain sent by the server might not be descended from a known public certificate authority.  This can occur either when the top of the chain is an unrecognized, self-signed certificate, or when intermediate certificates are missing that would connect the top of the certificate chain to a known public certificate authority.   Second, the certificate chain may contain a certificate that is not valid at the time of the scan.  This can occur either when the scan occurs before one of the certificate&apos.s &apos.notBefore&apos. dates, or after one of the certificate&apos.s &apos.notAfter&apos. dates.   Third, the certificate chain may contain a signature that either didn&apos.t match the certificate&apos.s information, or could not be verified.  Bad signatures can be fixed by getting the certificate with the bad signature to be re-signed by its issuer.  Signatures that could not be verified are the result of the certificate&apos.s issuer using a signing algorithm that Nessus either does not support or does not recognize.   If the remote host is a public host in production, any break in the chain makes it more difficult for users to verify the authenticity and identity of the web server. This could make it easier to carry out man-in-the-middle attacks against the remote host.;Purchase or generate a proper certificate for this service.;172.17.7.11;8834;RAGEGUY;tcp;Medium;False;;;;SSL Certificate Cannot Be Trusted;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
An SSL certificate in the certificate chain has been signed using the SHA-1 hashing algorithm.;The remote service uses an SSL certificate chain that has been signed with SHA-1, a cryptographically weak hashing algorithm. This signature algorithm is known to be vulnerable to collision attacks. An attacker can exploit this to generate another certificate with the same digital signature, allowing an attacker to masquerade as the affected service.  Note that this plugin reports all SSL certificate chains signed with SHA-1 that expire on or between January 1, 2016 and December 31, 2016 as informational. This is in accordance with Google&apos.s gradual sunsetting of the SHA-1 cryptographic hash algorithm.  Note that certificates in the chain that are contained in the Nessus CA database have been ignored.;n/a;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Certificate Signed Using SHA-1 Algorithm;http://blog.chromium.org/2014/09/gradually-sunsetting-sha-1.html http://tools.ietf.org/html/rfc3279;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
It was possible to take a &apos.screenshot&apos. of the remote web server.;This plugin renders the view of the remote web site&apos.s main page, as seen from within a web browser.  This plugin is informational only and does not denote a security problem.;n/a;172.17.7.11;8080;RAGEGUY;tcp;None;False;;;;Remote web server screenshot;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service appears to use OpenSSL to encrypt traffic.;Based on its response to a TLS request with a specially crafted server name extension, it seems that the remote service is using the OpenSSL library to encrypt traffic.  Note that this plugin can only detect OpenSSL implementations that have enabled support for TLS extensions (RFC 4366).;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;OpenSSL Detection;http://www.openssl.org;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service appears to use OpenSSL to encrypt traffic.;Based on its response to a TLS request with a specially crafted server name extension, it seems that the remote service is using the OpenSSL library to encrypt traffic.  Note that this plugin can only detect OpenSSL implementations that have enabled support for TLS extensions (RFC 4366).;n/a;172.17.7.11;8834;RAGEGUY;tcp;None;False;;;;OpenSSL Detection;http://www.openssl.org;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.;n/a;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Certificate Information;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;SSL Certificate Information;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
This plugin displays the SSL certificate.;This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.;n/a;172.17.7.11;8834;RAGEGUY;tcp;None;False;;;;SSL Certificate Information;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote host supports the TLS NPN extension.;The remote host supports the TLS NPN (Transport Layer Security Next Protocol Negotiation) extension. This plugin enumerates the protocols the extension supports.;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;TLS NPN Supported Protocol Enumeration;https://tools.ietf.org/id/draft-agl-tls-nextprotoneg-03.html;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote web server is not enforcing HSTS.;The remote HTTPS server is not enforcing HTTP Strict Transport Security (HSTS). The lack of HSTS allows downgrade attacks, SSL-stripping man-in-the-middle attacks, and weakens cookie-hijacking protections.;Configure the remote web server to use HSTS.;172.17.7.11;8834;RAGEGUY;tcp;None;False;;;;HSTS Missing From HTTPS Server;https://tools.ietf.org/html/rfc6797;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate commonName does not match the host name.;This service presents an SSL certificate for which the &apos.commonName&apos. (CN) does not match the host name on which the service listens.;If the machine has several names, make sure that users connect to the service through the DNS host name that matches the common name in the certificate.;172.17.7.11;3389;RAGEGUY;tcp;None;False;;;;SSL Certificate commonName Mismatch;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service advertises one or more protocols as being supported over TLS.;This script detects which protocols are advertised by the remote service to be encapsulated by TLS connections.  Note that Nessus did not attempt to negotiate TLS sessions with the protocols shown.  The remote service may be falsely advertising these protocols and / or failing to advertise other supported protocols.;n/a;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;TLS Next Protocols Supported;http://tools.ietf.org/html/draft-agl-tls-nextprotoneg https://technotes.googlecode.com/git/nextprotoneg.html;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The SSL certificate commonName does not match the host name.;This service presents an SSL certificate for which the &apos.commonName&apos. (CN) does not match the host name on which the service listens.;If the machine has several names, make sure that users connect to the service through the DNS host name that matches the common name in the certificate.;172.17.7.11;3790;RAGEGUY;tcp;None;False;;;;SSL Certificate commonName Mismatch;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
The remote service encrypts communications using SSL.;This plugin detects which SSL ciphers are supported by the remote service for encrypting communications.;n/a;172.17.7.11;8834;RAGEGUY;tcp;None;False;;;;SSL Cipher Suites Supported;https://www.openssl.org/docs/manmaster/apps/ciphers.html http://www.nessus.org/u?7d537016;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
Some information about the remote HTTP configuration can be extracted.;This test gives some information about the remote HTTP protocol - the version used, whether HTTP Keep-Alive and HTTP pipelining are enabled, etc...   This test is informational only and does not denote any security problem.;n/a;172.17.7.11;8081;RAGEGUY;tcp;None;False;;;;HyperText Transfer Protocol (HTTP) Information;;;00:0c:29:71:87:10;Microsoft Windows Server 2008 R2 Enterprise Service Pack 1;
