Vulnerabilidad;Descripción;Solución;Dirección IP;Puerto;Nombre;Protocolo;Severidad;Explotable;cve;bid;Puntaje cvss;Nombre del plug-in;Información adicional;xref;Dirección mac;Sistema operativo;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.196;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 2.6;
The remote host supports a set of weak ciphers.;The remote host supports EXPORT_RSA cipher suites with keys less than or equal to 512 bits. An attacker can factor a 512-bit RSA modulus in a short amount of time.  A man-in-the middle attacker may be able to downgrade the session to use EXPORT_RSA cipher suites (e.g. CVE-2015-0204). Thus, it is recommended to remove support for weak cipher suites.;Reconfigure the service to remove support for EXPORT_RSA cipher suites.;10.1.4.195;443;;tcp;Medium;True;CVE-2015-0204;71936;4.1;SSL/TLS EXPORT_RSA &lt.= 512-bit Cipher Suites Supported (FREAK);https://www.smacktls.com/#freak https://www.openssl.org/news/secadv/20150108.txt http://www.nessus.org/u?b78da2c4;OSVDB:116794 CERT:243585;;Dell PowerConnect Switch;
The remote service supports the use of weak SSL ciphers.;The remote host supports the use of SSL ciphers that offer weak encryption.   Note: This is considerably easier to exploit if the attacker is on the same physical network.;Reconfigure the affected application, if possible to avoid the use of weak ciphers.;10.1.4.195;443;;tcp;Medium;False;;;;SSL Weak Cipher Suites Supported;http://www.openssl.org/docs/apps/ciphers.html;CWE:326 CWE:327 CWE:720 CWE:753 CWE:803 CWE:928 CWE:934;;Dell PowerConnect Switch;
The remote service supports the use of the RC4 cipher.;The remote host supports the use of RC4 in one or more cipher suites. The RC4 cipher is flawed in its generation of a pseudo-random stream of bytes so that a wide variety of small biases are introduced into the stream, decreasing its randomness.  If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an attacker is able to obtain many (i.e., tens of millions) ciphertexts, the attacker may be able to derive the plaintext.;Reconfigure the affected application, if possible, to avoid use of RC4 ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser and web server support.;10.1.4.195;443;;tcp;Low;False;CVE-2013-2566 CVE-2015-2808;58796 73684;2.3;SSL RC4 Cipher Suites Supported (Bar Mitzvah);http://www.nessus.org/u?217a3666 http://cr.yp.to/talks/2013.03.12/slides.pdf http://www.isg.rhul.ac.uk/tls/ http://www.imperva.com/docs/HII_Attacking_SSL_when_using_RC4.pdf;OSVDB:91162 OSVDB:117855;;Dell PowerConnect Switch;
The SSL certificate chain for this service ends in an unrecognized self-signed certificate.;The X.509 certificate chain for this service is not signed by a recognized certificate authority.  If the remote host is a public host in production, this nullifies the use of SSL as anyone could establish a man-in-the-middle attack against the remote host.   Note that this plugin does not check for certificate chains that end in a certificate that is not self-signed, but is signed by an unrecognized certificate authority.;Purchase or generate a proper certificate for this service.;10.1.4.195;443;;tcp;Medium;False;;;;SSL Self-Signed Certificate;;;;Dell PowerConnect Switch;
The SSL certificate for this service cannot be trusted.;The server&apos.s X.509 certificate does not have a signature from a known public certificate authority.  This situation can occur in three different ways, each of which results in a break in the chain below which certificates cannot be trusted.   First, the top of the certificate chain sent by the server might not be descended from a known public certificate authority.  This can occur either when the top of the chain is an unrecognized, self-signed certificate, or when intermediate certificates are missing that would connect the top of the certificate chain to a known public certificate authority.   Second, the certificate chain may contain a certificate that is not valid at the time of the scan.  This can occur either when the scan occurs before one of the certificate&apos.s &apos.notBefore&apos. dates, or after one of the certificate&apos.s &apos.notAfter&apos. dates.   Third, the certificate chain may contain a signature that either didn&apos.t match the certificate&apos.s information, or could not be verified.  Bad signatures can be fixed by getting the certificate with the bad signature to be re-signed by its issuer.  Signatures that could not be verified are the result of the certificate&apos.s issuer using a signing algorithm that Nessus either does not support or does not recognize.   If the remote host is a public host in production, any break in the chain makes it more difficult for users to verify the authenticity and identity of the web server. This could make it easier to carry out man-in-the-middle attacks against the remote host.;Purchase or generate a proper certificate for this service.;10.1.4.195;443;;tcp;Medium;False;;;;SSL Certificate Cannot Be Trusted;;;;Dell PowerConnect Switch;
The remote server&apos.s SSL certificate has already expired.;This plugin checks expiry dates of certificates associated with SSL- enabled services on the target and reports whether any have already expired.;Purchase or generate a new SSL certificate to replace the existing one.;10.1.4.195;443;;tcp;Medium;False;;;;SSL Certificate Expiry;;;;Dell PowerConnect Switch;
The remote Telnet server transmits traffic in cleartext.;The remote host is running a Telnet server over an unencrypted channel.  Using Telnet over an unencrypted channel is not recommended as logins, passwords, and commands are transferred in cleartext. This allows a remote, man-in-the-middle attacker to eavesdrop on a Telnet session to obtain credentials or other sensitive information and to modify traffic exchanged between a client and server.  SSH is preferred over Telnet since it protects credentials from eavesdropping and can tunnel additional data streams such as an X11 session.;Disable the Telnet service and use SSH instead.;10.1.4.195;23;;tcp;Medium;False;;;;Unencrypted Telnet Server;;;;Dell PowerConnect Switch;
The remote SSH server is configured to allow weak encryption algorithms or no algorithm at all.;Nessus has detected that the remote SSH server is configured to use the Arcfour stream cipher or no cipher at all. RFC 4253 advises against using Arcfour due to an issue with weak keys.;Contact the vendor or consult product documentation to remove the weak ciphers.;10.1.4.195;22;;tcp;Medium;False;;;;SSH Weak Algorithms Supported;https://tools.ietf.org/html/rfc4253#section-6.3;;;Dell PowerConnect Switch;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.195;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Dell PowerConnect Switch;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.195;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Dell PowerConnect Switch;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.192;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 2.6;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.191;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.191;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.190;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.190;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.188;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.188;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.186;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Dell iDRAC Controller KYOCERA Printer Linux Kernel 2.6;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.186;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Dell iDRAC Controller KYOCERA Printer Linux Kernel 2.6;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.185;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.185;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.184;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Linux Kernel 3.1 Linux Kernel 3.3;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.184;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Linux Kernel 3.1 Linux Kernel 3.3;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.183;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.183;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.182;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.182;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
The SSH server is configured to use Cipher Block Chaining.;The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext.   Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;10.1.4.181;22;;tcp;Low;False;CVE-2008-5161;32319;2.6;SSH Server CBC Mode Ciphers Enabled;;OSVDB:50035 OSVDB:50036 CERT:958563 CWE:200;;Dell iDRAC Controller KYOCERA Printer Linux Kernel 2.6;
The remote SSH server is configured to allow MD5 and 96-bit MAC algorithms.;The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.  Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.;Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.;10.1.4.181;22;;tcp;Low;False;;;;SSH Weak MAC Algorithms Enabled;;;;Dell iDRAC Controller KYOCERA Printer Linux Kernel 2.6;
The remote service supports the use of the RC4 cipher.;The remote host supports the use of RC4 in one or more cipher suites. The RC4 cipher is flawed in its generation of a pseudo-random stream of bytes so that a wide variety of small biases are introduced into the stream, decreasing its randomness.  If plaintext is repeatedly encrypted (e.g., HTTP cookies), and an attacker is able to obtain many (i.e., tens of millions) ciphertexts, the attacker may be able to derive the plaintext.;Reconfigure the affected application, if possible, to avoid use of RC4 ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser and web server support.;10.1.4.180;443;;tcp;Low;False;CVE-2013-2566 CVE-2015-2808;58796 73684;2.3;SSL RC4 Cipher Suites Supported (Bar Mitzvah);http://www.nessus.org/u?217a3666 http://cr.yp.to/talks/2013.03.12/slides.pdf http://www.isg.rhul.ac.uk/tls/ http://www.imperva.com/docs/HII_Attacking_SSL_when_using_RC4.pdf;OSVDB:91162 OSVDB:117855;9e:cc:51:71:02:81 c6:8f:a4:07:70:ed 96:cb:f9:0c:82:3e 62:e4:71:a8:db:3e c4:01:7c:09:3f:60 c4:01:7c:09:3f:63 c4:01:7c:09:3f:6c c4:01:7c:09:3f:65 c4:01:7c:09:3f:61 0e:27:54:28:14:65 c4:01:7c:09:3f:64 c4:01:7c:09:3f:68 16:18:e9:89:15:e1 42:c0:4b:36:0a:4b;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
The remote SNMP daemon is affected by a vulnerability that allows a reflected distributed denial of service attack.;The remote SNMP daemon is responding with a large amount of data to a &apos.GETBULK&apos. request with a larger than normal value for &apos.max-repetitions&apos.. A remote attacker can use this SNMP server to conduct a reflected distributed denial of service attack on an arbitrary remote host.;Disable the SNMP service on the remote host if you do not use it. Otherwise, restrict and monitor access to this service, and consider changing the default &apos.public&apos. community string.;10.1.4.180;161;;udp;Medium;True;;;4.8;SNMP &apos.GETBULK&apos. Reflection DDoS;http://www.nessus.org/u?8b551b5c http://www.nessus.org/u?bdb53cfc;OSVDB:125796;9e:cc:51:71:02:81 c6:8f:a4:07:70:ed 96:cb:f9:0c:82:3e 62:e4:71:a8:db:3e c4:01:7c:09:3f:60 c4:01:7c:09:3f:63 c4:01:7c:09:3f:6c c4:01:7c:09:3f:65 c4:01:7c:09:3f:61 0e:27:54:28:14:65 c4:01:7c:09:3f:64 c4:01:7c:09:3f:68 16:18:e9:89:15:e1 42:c0:4b:36:0a:4b;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
An SSL certificate in the certificate chain has been signed using a weak hash algorithm.;The remote service uses an SSL certificate chain that has been signed using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5, or SHA1). These signature algorithms are known to be vulnerable to collision attacks. An attacker can exploit this to generate another certificate with the same digital signature, allowing an attacker to masquerade as the affected service.  Note that this plugin reports all SSL certificate chains signed with SHA-1 that expire after January 1, 2017 as vulnerable. This is in accordance with Google&apos.s gradual sunsetting of the SHA-1 cryptographic hash algorithm.  Note that certificates in the chain that are contained in the Nessus CA database have been ignored.;Contact the Certificate Authority to have the certificate reissued.;10.1.4.180;443;;tcp;Medium;True;CVE-2004-2761;11849 33065;3.5;SSL Certificate Signed Using Weak Hashing Algorithm;http://tools.ietf.org/html/rfc3279 http://www.phreedom.org/research/rogue-ca/ http://technet.microsoft.com/en-us/security/advisory/961509;OSVDB:45106 OSVDB:45108 OSVDB:45127 CERT:836068 CWE:310;9e:cc:51:71:02:81 c6:8f:a4:07:70:ed 96:cb:f9:0c:82:3e 62:e4:71:a8:db:3e c4:01:7c:09:3f:60 c4:01:7c:09:3f:63 c4:01:7c:09:3f:6c c4:01:7c:09:3f:65 c4:01:7c:09:3f:61 0e:27:54:28:14:65 c4:01:7c:09:3f:64 c4:01:7c:09:3f:68 16:18:e9:89:15:e1 42:c0:4b:36:0a:4b;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
The SSL certificate chain for this service ends in an unrecognized self-signed certificate.;The X.509 certificate chain for this service is not signed by a recognized certificate authority.  If the remote host is a public host in production, this nullifies the use of SSL as anyone could establish a man-in-the-middle attack against the remote host.   Note that this plugin does not check for certificate chains that end in a certificate that is not self-signed, but is signed by an unrecognized certificate authority.;Purchase or generate a proper certificate for this service.;10.1.4.180;443;;tcp;Medium;False;;;;SSL Self-Signed Certificate;;;9e:cc:51:71:02:81 c6:8f:a4:07:70:ed 96:cb:f9:0c:82:3e 62:e4:71:a8:db:3e c4:01:7c:09:3f:60 c4:01:7c:09:3f:63 c4:01:7c:09:3f:6c c4:01:7c:09:3f:65 c4:01:7c:09:3f:61 0e:27:54:28:14:65 c4:01:7c:09:3f:64 c4:01:7c:09:3f:68 16:18:e9:89:15:e1 42:c0:4b:36:0a:4b;EPSON Stylus Printer Linksys Wireless Access Point Oracle Integrated Lights Out Manager;
